#SampleID	env_package	empo_1	empo_2	empo_3
10257.R689.7	host-associated	Host-associated	Animal	Animal distal gut
894.SV1768.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut
11442.G79325	misc environment	free-living	non-saline	surface (non-saline)
10442.WSB309	water			
10442.WSB528	water			
945.P9.D11.lane3.NoIndex.L003	water	Free-living	Non-saline	Water (non-saline)
10442.WSB293	water			
14446.7161239	water	Free-living	Non-saline	Water (non-saline)
11166.ATL.24442.starling	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11815.PWW.3541.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
13114.minich.76.s003	host-associated	Host-associated	Animal	Animal distal gut
11815.JCK.10034.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
894.UY1798.lane5.NoIndex.L005	host-associated	Host-associated	Animal	Animal distal gut
11815.JCK.10087.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
11166.NATL.24652.saki	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10442.WSB508	water			
10442.WSB488	water			
11442.G79558	misc environment	free-living	non-saline	surface (non-saline)
10323.K03K04.1111B	host-associated	Host-associated	Animal	Animal distal gut
2192.H03a.Kitchen.Counter.1273.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)
11166.NATL.24657.b.kiwi	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
1056.Myr.tri.Seat.1.04J06	host-associated	Host-associated	Animal	Animal distal gut
11166.FD.0417.Helmetedcurassow	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.23.L	host-associated		Host-associated	Host-associated (non-saline)
1056.Myr.tri.Seat.6.04K03	host-associated	Host-associated	Animal	Animal distal gut
11166.ATL.24485.tortoise	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11166.ATL.25162.frog	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11166.NATL.24655.rat	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11166.ATL.24062.rhinoceros	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
