#SampleID	env_package	empo_1	empo_2	empo_3
11442.G79570	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.15.L	host-associated		Host-associated	Host-associated (non-saline)
11519.19A030709.S15.3E	soil	Free-living	Non-saline	Soil (non-saline)
13301.2014.066.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.2.L	host-associated		Host-associated	Host-associated (non-saline)
10218.3.9.13CtrlB	soil			
11740.9.5.MonTues.Vacuum.cr	built environment			
11442.G73989	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
10218.5.9.13.S.H.A	soil			
11712.SUBJECT22.STOOL.478	human-gut	Host-associated	Animal-associated	Animal distal gut
10894.HR4929	human-skin	Host-associated	Animal-associated	Animal surface
13301.2014.066.Fly.24.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT18.SKIN.307	human-skin	Host-associated	Animal-associated	Animal surface
13301.2014.052.Fly.38.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.32.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT23.STOOL.501	human-gut	Host-associated	Animal-associated	Animal distal gut
10317.000015061	human-skin	host-associated	animal	animal surface
13301.2015.015.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.33.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.29.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.4.L	host-associated		Host-associated	Host-associated (non-saline)
11405.subject844.timepoint24	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.38.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.18.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.13.L	host-associated		Host-associated	Host-associated (non-saline)
11405.subject858.timepoint24	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT24.STOOL.522	human-gut	Host-associated	Animal-associated	Animal distal gut
11519.19A030709.S15.3D	soil	Free-living	Non-saline	Soil (non-saline)
13301.2014.042.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.12.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.19.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.25.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79574	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT27.STOOL.581	human-gut	Host-associated	Animal-associated	Animal distal gut
10218.5.13.13.S.LA.F	soil			
10317.000015062	human-skin	host-associated	animal	animal surface
13301.2014.042.Fly.23.L	host-associated		Host-associated	Host-associated (non-saline)
10218.5.11.13.S.RA.G	soil			
11740.7.3.ThursFri.Vacuum.cr	built environment			
11442.G83216	misc environment	host-associated	plant	plant-corpus
13301.2014.042.Fly.35.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.40.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.39.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject930.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79345	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79755	misc environment	not applicable	not applicable	not applicable
13301.2014.066.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.32.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.21.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79576	misc environment	free-living	non-saline	surface (non-saline)
