#SampleID	env_package	empo_1	empo_2	empo_3
11442.G79537	misc environment	not applicable	not applicable	not applicable
11442.G83216	misc environment	host-associated	plant	plant-corpus
11442.G78937	misc environment	free-living	non-saline	surface (non-saline)
11442.G79576	misc environment	free-living	non-saline	surface (non-saline)
11442.G75813	misc environment	not applicable	not applicable	not applicable
11442.G79483	misc environment	free-living	non-saline	surface (non-saline)
11442.G73716	misc environment	free-living	non-saline	surface (non-saline)
11442.G79649	misc environment	host-associated	not applicable	not applicable
11442.G79540	misc environment	not applicable	not applicable	not applicable
11442.G79482	misc environment	free-living	non-saline	surface (non-saline)
11442.G79755	misc environment	not applicable	not applicable	not applicable
11442.G78950	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.066.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79481	misc environment	free-living	non-saline	surface (non-saline)
10353.PM	host-associated	Host-associated	Animal	Animal distal gut
11442.G74113	misc environment	free-living	non-saline	soil (non-saline)
10218.5.13.13.S.LA.F	soil			
11442.G79574	misc environment	free-living	non-saline	surface (non-saline)
10218.5.11.13.S.RA.G	soil			
11442.G75808	misc environment	not applicable	not applicable	not applicable
10172.959	human-skin			
11442.G79570	misc environment	free-living	non-saline	surface (non-saline)
