#SampleID	env_package	empo_1	empo_2	empo_3
11712.SUBJECT24.STOOL.522	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT29.ORAL.608	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT20.STOOL.430	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G78880	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT22.STOOL.476	human-gut	Host-associated	Animal-associated	Animal distal gut
10218.5.11.13.S.RA.G	soil			
11712.SUBJECT22.STOOL.477	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT18.ORAL.268	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT20.STOOL.421	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT22.STOOL.478	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT19.STOOL.365	human-gut	Host-associated	Animal-associated	Animal distal gut
10863.PBS1.8H	microbial mat/biofilm			
11712.SUBJECT23.STOOL.500	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT25.STOOL.546	human-gut	Host-associated	Animal-associated	Animal distal gut
