#SampleID	env_package	empo_1	empo_2	empo_3
13301.2014.028.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.5.O	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT18.ORAL.277	human-oral	Host-associated	Animal-associated	Animal secretion
10321.2014.006.Fly.7.T				
13301.2014.006.Fly.7.T	host-associated		Host-associated	Host-associated (non-saline)
11366.BLANK8.3E	misc environment			
13301.2014.028.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.1.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.29.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.7.O	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT26.ORAL.555	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT24.STOOL.522	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.19.T	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.36.T				
13301.2014.052.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT20.STOOL.421	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
11166.fmnh.2706	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.009.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.32.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT14.STOOL.140	human-gut	Host-associated	Animal-associated	Animal distal gut
10863.PBS1.8H	microbial mat/biofilm			
13301.2014.004.Fly.31.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT23.STOOL.500	human-gut	Host-associated	Animal-associated	Animal distal gut
10321.2014.009.Fly.25.T				
13301.2014.052.Fly.17.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.35.L	host-associated		Host-associated	Host-associated (non-saline)
11692.11441.24o0	host-associated	Host-associated	Animal	Animal secretion
13301.2014.066.Fly.15.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.20.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.25.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.29.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
11366.14HM493.M.1	human-associated			
13301.2014.052.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.22.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT22.STOOL.477	human-gut	Host-associated	Animal-associated	Animal distal gut
11166.fmnh.2694	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.066.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.15.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
