#SampleID	env_package	empo_1	empo_2	empo_3
13301.2014.006.Fly.33.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.25.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.6.O	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT22.STOOL.477	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT22.STOOL.476	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT27.STOOL.581	human-gut	Host-associated	Animal-associated	Animal distal gut
11692.11441.16o0	host-associated	Host-associated	Animal	Animal secretion
11366.14HM389.M.1	human-associated			
11624.K40.128.100	human-associated	Host-associated	Animal	Animal secretion
13301.2015.015.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.123.4	human-associated	Host-associated	Animal	Animal secretion
13301.2014.052.Fly.24.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT18.STOOL.320	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.28.L	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.15.T				
11692.11441.9o3	host-associated	Host-associated	Animal	Animal secretion
13301.2015.015.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.24.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.17.T	host-associated		Host-associated	Host-associated (non-saline)
11366.14HM555.M.1	human-associated			
10321.2014.009.Fly.24.T				
13301.2014.066.Fly.32.L	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.76.54	human-associated	Host-associated	Animal	Animal secretion
10321.2014.006.Fly.16.T				
13301.2014.028.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
11366.14HM369.M.1	human-associated			
13301.2014.028.Fly.10.T	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.009.Fly.26.T				
13301.2014.052.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT30.ORAL.655	human-oral	Host-associated	Animal-associated	Animal secretion
10321.2014.009.Fly.4.T				
13301.2014.028.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.33.O	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT19.STOOL.365	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.028.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT20.STOOL.430	human-gut	Host-associated	Animal-associated	Animal distal gut
11692.11441.9o6	host-associated	Host-associated	Animal	Animal secretion
13301.2014.009.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
10321.2014.006.Fly.24.T				
13301.2014.053.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
