#SampleID	env_package	empo_1	empo_2	empo_3
13301.2014.066.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75575	misc environment	free-living	non-saline	surface (non-saline)
11405.subject858.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79206	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT19.ORAL.343	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT43.STOOL.1065	human-gut	Host-associated	Animal-associated	Animal distal gut
11366.14HM394.M.1	human-associated			
11442.G75786	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT25.ORAL.534	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT23.STOOL.500	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT22.STOOL.478	human-gut	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT25.STOOL.546	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.16.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.38.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.23.L	host-associated		Host-associated	Host-associated (non-saline)
11405.subject833.timepoint2	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT25.STOOL.547	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.066.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
11405.subject726.timepoint48	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11933.vbat.DR12.colon.vbat	host-associated	Host-associated	Animal-associated	Animal distal gut
13301.2014.042.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.12.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75787	misc environment	free-living	non-saline	surface (non-saline)
11442.G79205	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT30.ORAL.655	human-oral	Host-associated	Animal-associated	Animal secretion
11405.subject833.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79538	misc environment	not applicable	not applicable	not applicable
11712.SUBJECT27.STOOL.581	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.066.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT17.STOOL.263	human-gut	Host-associated	Animal-associated	Animal distal gut
11405.subject833.timepoint48	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11166.vbat.DR12.colon.vbat	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10863.PBS1.8H	microbial mat/biofilm			
13301.2014.042.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.1.O	host-associated		Host-associated	Host-associated (non-saline)
11405.BLANK08.E09	misc environment	Control	Negative	Sterile water blank
11712.SUBJECT30.STOOL.688	human-gut	Host-associated	Animal-associated	Animal distal gut
11624.K40.123.4	human-associated	Host-associated	Animal	Animal secretion
11405.subject859.timepoint6	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11712.SUBJECT26.ORAL.555	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT20.STOOL.425	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.21.T	host-associated		Host-associated	Host-associated (non-saline)
10218.3.9.13CtrlB	soil			
13301.2014.028.Fly.12.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT20.STOOL.422	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.042.Fly.12.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
11712.BLANK14.9H	misc environment	Control	Negative	Sterile water blank
11712.SUBJECT24.STOOL.522	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.34.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT14.STOOL.140	human-gut	Host-associated	Animal-associated	Animal distal gut
