#SampleID	env_package	empo_1	empo_2	empo_3
11624.K40.128.100	human-associated	Host-associated	Animal	Animal secretion
13301.2014.066.Fly.8.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.11.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79574	misc environment	free-living	non-saline	surface (non-saline)
11442.G87409	misc environment	host-associated	fungus	fungus-corpus
13301.2015.015.Fly.9.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.5.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.21.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.10.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT20.STOOL.421	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.006.Fly.33.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT22.STOOL.478	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2015.017.Fly.14.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.19.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
11358.1536	misc environment	Free-living	Non-saline	Surface (non-saline)
13301.2014.052.Fly.17.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.40.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79570	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.004.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.19.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
11933.EN.2.7.flea	host-associated	Host-associated	Animal-associated	Animal distal gut
11712.SUBJECT19.STOOL.365	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G79553	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.009.Fly.26.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.14.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75575	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.066.Fly.33.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79463	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.017.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT20.STOOL.431	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.006.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT24.STOOL.522	human-gut	Host-associated	Animal-associated	Animal distal gut
11366.5CELLS8.3A	misc environment			
13301.2014.066.Fly.9.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.19.L	host-associated		Host-associated	Host-associated (non-saline)
11166.EN.2.4.flea	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.009.Fly.32.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.4.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79498	misc environment	free-living	saline	water (non-saline) (saline)
13301.2014.042.Fly.16.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.31.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.31.T	host-associated		Host-associated	Host-associated (non-saline)
