#SampleID	env_package	empo_1	empo_2	empo_3
10353.PM	host-associated	Host-associated	Animal	Animal distal gut
13301.2015.017.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
11442.G75236	misc environment	free-living	non-saline	surface (non-saline)
1728.2P	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)
11442.G79755	misc environment	not applicable	not applicable	not applicable
11442.G75813	misc environment	not applicable	not applicable	not applicable
13301.2014.009.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.2.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G79649	misc environment	host-associated	not applicable	not applicable
13301.2014.009.Fly.24.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G83216	misc environment	host-associated	plant	plant-corpus
10321.2014.009.Fly.34.T				
10321.2014.009.Fly.24.T				
12227.SAL.RAS.A.31.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.004.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.015.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.35.L	host-associated		Host-associated	Host-associated (non-saline)
