#SampleID	env_package	empo_1	empo_2	empo_3
11766.000086242	human-gut	Host-associated	Animal	Animal distal gut
11718.10317.000082913	human-gut	Host-associated	Animal	Animal distal gut
10370.11C7	human-skin			
11874.X15.692	human-associated	Host-associated	Animal	Animal secretion
10317.000007493	human-skin	host-associated	animal	animal surface
10403.1.15.15.NL7.S10	human-skin	Host-associated	Animal	Animal surface
11052.2.18.14.rk.rh	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10370.3B10	human-skin			
10172.1122	misc environment			
10370.11G8	human-skin			
10370.22G9	human-skin			
2192.H05b.Hand.2671.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10403.7.11.14.NL45.S5	human-skin	Host-associated	Animal	Animal surface
13064.B15SN3	human-associated	Host-associated	Animal-associated	Animal surface
2192.H05b.Foot.2675.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10172.4619	human-skin			
2192.H01a.Bathroom.Door.Knob.318.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)
12164.PM48.RECT.PRE	human-gut	Host-associated	Animal-associated	Animal distal gut
10317.000010315	human-skin	host-associated	animal	animal surface
10317.000069845	human-skin	host-associated	animal	animal surface
10317.000007481	human-skin	host-associated	animal	animal surface
2192.H02a.Kitchen.Light.Switch.723.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)
10317.000010406	human-gut	host-associated	animal	animal distal gut
550.L4S11.s.4.sequence	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11865.toilet.seat.t1	built environment	Free-living	Non-saline	Surface (non-saline)
13092.000118833.covid	built environment	Free-living	Non-saline	Surface (non-saline)
2192.H07a.Foot.3635.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10317.000016493	human-gut	host-associated	animal	animal distal gut
13092.000117521.covid	human-associated	Host-associated	Animal-associated	Animal secretion
10370.22E11	human-skin			
11326.Q.71801.0111.2017.09.27	human-gut	Host-associated	Animal	Animal distal gut
11052.12.13.13.rk.rh	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
2192.H07b.Nose.3972.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11673.long7.SK1.v1	human-skin	Host-associated	Animal-associated	Animal surface
13064.PTL11N1St2	human-associated	Host-associated	Animal-associated	Animal surface
11766.000078182	human-gut	Host-associated	Animal	Animal distal gut
11874.X15.1241	human-associated	Host-associated	Animal	Animal secretion
10370.9C2	human-skin			
10370.18A6	human-skin			
11272.Cl.V4.2B9.RA	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)
