#SampleID	env_package	empo_1	empo_2	empo_3
13301.2014.042.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT9.STOOL.1210	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.052.Fly.21.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.18.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.37.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject859.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.052.Fly.34.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79751	misc environment	not applicable	not applicable	not applicable
11692.11441.32o15	host-associated	Host-associated	Animal	Animal secretion
11405.subject854.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11712.SUBJECT26.ORAL.559	human-oral	Host-associated	Animal-associated	Animal secretion
11815.PWW.3575.SkinEtOH	host-associated	Host-associated	Animal-associated	Animal surface
11442.G78931	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.004.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79481	misc environment	free-living	non-saline	surface (non-saline)
11712.SUBJECT20.STOOL.431	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.028.Fly.17.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.3.T	host-associated		Host-associated	Host-associated (non-saline)
10218.3.9.13CtrlB	soil			
10321.2014.009.Fly.4.T				
13301.2014.042.Fly.38.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject726.timepoint48	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.028.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
11405.subject858.timepoint6	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
10218.3.7.13.A	soil			
13301.2014.052.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT17.STOOL.263	human-gut	Host-associated	Animal-associated	Animal distal gut
11405.subject833.timepoint2	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11405.subject930.timepoint0	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11405.subject858.timepoint36	human-gut	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2014.042.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79538	misc environment	not applicable	not applicable	not applicable
13301.2015.015.Fly.5.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.24.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.36.L	host-associated		Host-associated	Host-associated (non-saline)
11712.SUBJECT30.ORAL.656	human-oral	Host-associated	Animal-associated	Animal secretion
11712.SUBJECT29.STOOL.617	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.004.Fly.6.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2015.017.Fly.2.T	host-associated		Host-associated	Host-associated (non-saline)
11624.K40.123.4	human-associated	Host-associated	Animal	Animal secretion
13301.2014.009.Fly.4.O	host-associated		Host-associated	Host-associated (non-saline)
11405.BLANK08.D10	misc environment	Control	Negative	Sterile water blank
13301.2014.052.Fly.3.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
