#SampleID	env_package	empo_1	empo_2	empo_3
13301.2014.066.Fly.23.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.8.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.13.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G75575	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.053.Fly.16.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.38.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.37.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.23.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.39.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.18.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.12.O	host-associated		Host-associated	Host-associated (non-saline)
11442.G75252	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.066.Fly.35.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.23.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.20.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.1.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.11.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.38.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.17.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.1.L	host-associated		Host-associated	Host-associated (non-saline)
10218.3.7.13.A	soil			
13301.2014.042.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
10218.3.9.13CtrlB	soil			
13301.2014.042.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.38.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.24.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.35.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.21.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.18.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.30.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.7.L	host-associated		Host-associated	Host-associated (non-saline)
