#SampleID	env_package	empo_1	empo_2	empo_3
13301.2014.052.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.15.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.24.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.16.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.24.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.27.L	host-associated		Host-associated	Host-associated (non-saline)
11815.BN.608.FecalFTA	host-associated	Host-associated	Animal-associated	Animal distal gut
13301.2014.053.Fly.36.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.34.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G79748	misc environment	not applicable	not applicable	not applicable
13301.2014.042.Fly.5.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.28.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.7.L	host-associated		Host-associated	Host-associated (non-saline)
12227.SAL.75Pft.2.digesta	host-associated	Host-associated	Animal	Animal proximal gut
13301.2014.066.Fly.36.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.006.Fly.9.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.6.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.33.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.31.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.38.T	host-associated		Host-associated	Host-associated (non-saline)
11358.1224	host-associated	Host-associated	Animal-associated	Animal distal gut
13301.2014.004.Fly.25.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.009.Fly.27.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.27.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.053.Fly.6.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.19.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.004.Fly.26.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.20.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.1.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G78959	misc environment	free-living	non-saline	surface (non-saline)
10581.33.2	human-gut	Host-associated	Animal-associated	Animal distal gut
13301.2014.053.Fly.39.T	host-associated		Host-associated	Host-associated (non-saline)
11442.G79473	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.004.Fly.19.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.25.T	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.12.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.052.Fly.10.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.066.Fly.26.O	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.042.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
13301.2014.028.Fly.15.O	host-associated		Host-associated	Host-associated (non-saline)
10317.000058429	human-gut	host-associated	animal	animal distal gut
13301.2014.066.Fly.35.T	host-associated		Host-associated	Host-associated (non-saline)
