#SampleID	env_package	empo_1	empo_2	empo_3
11358.2142	human-gut	Host-associated	Animal-associated	Animal distal gut
11442.G75790	misc environment	free-living	non-saline	surface (non-saline)
11442.G75659	misc environment	free-living	non-saline	surface (non-saline)
13301.2014.042.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G83216	misc environment	host-associated	plant	plant-corpus
11933.EN.2.3.flea	host-associated	Host-associated	Animal-associated	Animal distal gut
11933.EN.2.10.flea	host-associated	Host-associated	Animal-associated	Animal distal gut
11442.G79617	misc environment	free-living	non-saline	surface (non-saline)
11933.EN.2.9.flea	host-associated	Host-associated	Animal-associated	Animal distal gut
11166.NATL.24249.nakedmolerat	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G87345	misc environment	host-associated	animal	animal-corpus
10218.3.7.13.A	soil			
11166.EN.2.4.flea	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11712.SUBJECT18.STOOL.325	human-gut	Host-associated	Animal-associated	Animal distal gut
11933.EN.2.6.flea	host-associated	Host-associated	Animal-associated	Animal distal gut
11166.EN.2.9.flea	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G72764	misc environment	free-living	non-saline	surface (non-saline)
11933.EN.2.7.flea	host-associated	Host-associated	Animal-associated	Animal distal gut
13301.2014.066.Fly.32.L	host-associated		Host-associated	Host-associated (non-saline)
11166.EN.2.3.flea	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79470	misc environment	free-living	non-saline	surface (non-saline)
10218.5.11.13.S.RA.G	soil			
11166.EN.2.10.flea	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11166.EN.2.6.flea	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
13301.2015.017.Fly.8.L	host-associated		Host-associated	Host-associated (non-saline)
11442.G75791	misc environment	free-living	non-saline	surface (non-saline)
11442.G75119	misc environment	free-living	non-saline	surface (non-saline)
11442.G79561	misc environment	free-living	non-saline	surface (non-saline)
10423.6KICJ6SV9YSN6	built environment			
11442.G72679	misc environment	host-associated	not applicable	not applicable
10423.2LLCNW5A8RCBK	built environment			
11442.G79612	misc environment	free-living	non-saline	surface (non-saline)
11166.EN.2.7.flea	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11166.NATL.24245.rat	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)
11442.G79615	misc environment	free-living	non-saline	surface (non-saline)
13301.2015.015.Fly.12.L	host-associated		Host-associated	Host-associated (non-saline)
11933.EN.2.4.flea	host-associated	Host-associated	Animal-associated	Animal distal gut
10317.000050618	human-skin	host-associated	animal	animal surface
