#SampleID	env_package	empo_1	empo_2	empo_3	is_emp	is_agp
2192.H05b.Front.Door.Knob.2645.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Foot.137.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000007190	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000007273	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H04a.Foot.1883.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000050446	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H07a.Cat.Paw.3781.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
894.MR500.lane3.NoIndex.L003	host-associated	Host-associated	Animal	Animal distal gut	True	False
894.YY1856.lane2.NoIndex.L002	host-associated	Host-associated	Animal	Animal distal gut	True	False
10317.000027774	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000007500	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H07a.Kitchen.Floor.3770.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Kitchen.Counter.3265.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H03a.Hand.1474.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H02a.Nose.657.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Hand.3154.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Kitchen.Light.Switch.2835.lane1.NoIndex.L001	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Hand.136.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H02a.Front.Door.Knob.701.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000041360	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000033534	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000007349	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H01a.Front.Door.Knob.221.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H07b.Nose.3948.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05a.Nose.5008.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Front.Door.Knob.269.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H01a.Foot.296.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
10317.000047488	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H07b.Kitchen.Floor.3962.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Kitchen.Counter.2713.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
861.U80.jul09	water	Free-living	Saline	Water (saline)	True	False
2192.H07b.Kitchen.Counter.4057.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000005636	human-skin	Host-associated	Animal	Animal surface	False	True
10317.000007113	human-skin	Host-associated	Animal	Animal surface	False	True
2192.H06b.Hand.3130.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H02a.Kitchen.Counter.793.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H05b.Nose.2577.lane5.NoIndex.L005	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H06b.Nose.3279.lane6.NoIndex.L006	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Kitchen.Light.Switch.219.lane2.NoIndex.L002	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
2192.H06b.Kitchen.Counter.3337.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000004057	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000092844	human-oral	Host-associated	Animal	Animal secretion	False	True
2192.H03a.Hand.1357.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Hand.2791.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H02a.Foot.824.lane2.NoIndex.L002	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Hand.2959.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H07b.Nose.3945.lane1.NoIndex.L001	human-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H05b.Foot.2555.lane6.NoIndex.L006	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H03a.Bedroom.Floor.1420.lane5.NoIndex.L005	built environment	Free-living	Free-living (non-saline)	Solid (non-saline)	True	False
10317.000014594	human-gut	Host-associated	Animal	Animal distal gut	False	True
10317.000107325	human-gut	Host-associated	Animal	Animal distal gut	False	True
2192.H04a.Dog.Foot.2060.lane6.NoIndex.L006	host-associated	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
2192.H01a.Foot.83.lane1.NoIndex.L001	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
864.15.CON.addV.noG.addW.lane2.NoIndex	soil	Free-living	Non-saline	Soil (non-saline)	True	False
2192.H03a.Foot.1208.lane5.NoIndex.L005	human-skin	Host-associated	Host-associated (non-saline)	Animal (non-saline)	True	False
