sample-id	SampleID	add_0c	megyesi_score	facility	host_subject_id	days_since_placement	sample_site
soil.hip.SHSU.2016.064.2016.08.25.day1	soil.hip.SHSU.2016.064.2016.08.25.day1	0	5	SHSU	2016.064	0	soil.hip
soil.hip.SHSU.2016.064.2016.08.26.day2	soil.hip.SHSU.2016.064.2016.08.26.day2	27.5	5	SHSU	2016.064	1	soil.hip
soil.hip.SHSU.2016.064.2016.08.27.day3	soil.hip.SHSU.2016.064.2016.08.27.day3	55.27777778	5	SHSU	2016.064	2	soil.hip
soil.hip.SHSU.2016.064.2016.08.28.day4	soil.hip.SHSU.2016.064.2016.08.28.day4	82.22222222	9	SHSU	2016.064	3	soil.hip
soil.hip.SHSU.2016.064.2016.08.29.day5	soil.hip.SHSU.2016.064.2016.08.29.day5	109.4444444	18	SHSU	2016.064	4	soil.hip
soil.hip.SHSU.2016.064.2016.08.30.day6	soil.hip.SHSU.2016.064.2016.08.30.day6	137.5	16	SHSU	2016.064	5	soil.hip
soil.hip.SHSU.2016.064.2016.08.31.day7	soil.hip.SHSU.2016.064.2016.08.31.day7	166.3888889	16	SHSU	2016.064	6	soil.hip
soil.hip.SHSU.2016.064.2016.09.01.day8	soil.hip.SHSU.2016.064.2016.09.01.day8	195.5555556	16	SHSU	2016.064	7	soil.hip
soil.hip.SHSU.2016.064.2016.09.02.day9	soil.hip.SHSU.2016.064.2016.09.02.day9	223.0555556	18	SHSU	2016.064	8	soil.hip
soil.hip.SHSU.2016.064.2016.09.03.day10	soil.hip.SHSU.2016.064.2016.09.03.day10	250.2777778	18	SHSU	2016.064	9	soil.hip
soil.hip.SHSU.2016.064.2016.09.04.day11	soil.hip.SHSU.2016.064.2016.09.04.day11	278.0555556	24	SHSU	2016.064	10	soil.hip
soil.hip.SHSU.2016.064.2016.09.05.day12	soil.hip.SHSU.2016.064.2016.09.05.day12	306.9444444	24	SHSU	2016.064	11	soil.hip
soil.hip.SHSU.2016.064.2016.09.06.day13	soil.hip.SHSU.2016.064.2016.09.06.day13	335.5555556	22	SHSU	2016.064	12	soil.hip
soil.hip.SHSU.2016.064.2016.09.08.day15	soil.hip.SHSU.2016.064.2016.09.08.day15	393.6111111	23	SHSU	2016.064	14	soil.hip
soil.hip.SHSU.2016.064.2016.09.09.day16	soil.hip.SHSU.2016.064.2016.09.09.day16	422.2222222	23	SHSU	2016.064	15	soil.hip
soil.hip.SHSU.2016.064.2016.09.10.day17	soil.hip.SHSU.2016.064.2016.09.10.day17	449.4444444	25	SHSU	2016.064	16	soil.hip
soil.hip.SHSU.2016.064.2016.09.11.day18	soil.hip.SHSU.2016.064.2016.09.11.day18	476.1111111	25	SHSU	2016.064	17	soil.hip
soil.hip.SHSU.2016.064.2016.09.12.day19	soil.hip.SHSU.2016.064.2016.09.12.day19	503.3333333	25	SHSU	2016.064	18	soil.hip
soil.hip.SHSU.2016.064.2016.09.13.day20	soil.hip.SHSU.2016.064.2016.09.13.day20	530.8333333	25	SHSU	2016.064	19	soil.hip
soil.hip.SHSU.2016.064.2016.09.14.day21	soil.hip.SHSU.2016.064.2016.09.14.day21	558.6111111	25	SHSU	2016.064	20	soil.hip
soil.hip.SHSU.2016.065.2016.08.25.day1	soil.hip.SHSU.2016.065.2016.08.25.day1	0	3	SHSU	2016.065	0	soil.hip
soil.hip.SHSU.2016.065.2016.08.26.day2	soil.hip.SHSU.2016.065.2016.08.26.day2	27.5	4	SHSU	2016.065	1	soil.hip
soil.hip.SHSU.2016.065.2016.08.27.day3	soil.hip.SHSU.2016.065.2016.08.27.day3	55.27777778	7	SHSU	2016.065	2	soil.hip
soil.hip.SHSU.2016.065.2016.08.28.day4	soil.hip.SHSU.2016.065.2016.08.28.day4	82.22222222	11	SHSU	2016.065	3	soil.hip
soil.hip.SHSU.2016.065.2016.08.29.day5	soil.hip.SHSU.2016.065.2016.08.29.day5	109.4444444	12	SHSU	2016.065	4	soil.hip
soil.hip.SHSU.2016.065.2016.08.30.day6	soil.hip.SHSU.2016.065.2016.08.30.day6	137.5	15	SHSU	2016.065	5	soil.hip
soil.hip.SHSU.2016.065.2016.08.31.day7	soil.hip.SHSU.2016.065.2016.08.31.day7	166.3888889	17	SHSU	2016.065	6	soil.hip
soil.hip.SHSU.2016.065.2016.09.01.day8	soil.hip.SHSU.2016.065.2016.09.01.day8	195.5555556	18	SHSU	2016.065	7	soil.hip
soil.hip.SHSU.2016.065.2016.09.02.day9	soil.hip.SHSU.2016.065.2016.09.02.day9	223.0555556	20	SHSU	2016.065	8	soil.hip
soil.hip.SHSU2016.065.2016.09.03.day10	soil.hip.SHSU2016.065.2016.09.03.day10	250.2777778	20	SHSU	2016.065	9	soil.hip
soil.hip.SHSU.2016.065.2016.09.04.day11	soil.hip.SHSU.2016.065.2016.09.04.day11	278.0555556	22	SHSU	2016.065	10	soil.hip
soil.hip.SHSU.2016.065.2016.09.05.day12	soil.hip.SHSU.2016.065.2016.09.05.day12	306.9444444	22	SHSU	2016.065	11	soil.hip
soil.hip.SHSU.2016.065.2016.09.06.day13	soil.hip.SHSU.2016.065.2016.09.06.day13	335.5555556	21	SHSU	2016.065	12	soil.hip
soil.hip.SHSU.2016.065.2016.09.07.day14	soil.hip.SHSU.2016.065.2016.09.07.day14	364.1666667	21	SHSU	2016.065	13	soil.hip
soil.hip.SHSU.2016.065.2016.09.08.day15	soil.hip.SHSU.2016.065.2016.09.08.day15	393.6111111	21	SHSU	2016.065	14	soil.hip
soil.hip.SHSU.2016.065.2016.09.09.day16	soil.hip.SHSU.2016.065.2016.09.09.day16	422.2222222	23	SHSU	2016.065	15	soil.hip
soil.hip.SHSU.2016.065.2016.09.10.day17	soil.hip.SHSU.2016.065.2016.09.10.day17	449.4444444	22	SHSU	2016.065	16	soil.hip
soil.hip.SHSU.2016.065.2016.09.11.day18	soil.hip.SHSU.2016.065.2016.09.11.day18	476.1111111	22	SHSU	2016.065	17	soil.hip
soil.hip.SHSU.2016.065.2016.09.12.day19	soil.hip.SHSU.2016.065.2016.09.12.day19	503.3333333	22	SHSU	2016.065	18	soil.hip
soil.hip.SHSU.2016.065.2016.09.13.day20	soil.hip.SHSU.2016.065.2016.09.13.day20	530.8333333	23	SHSU	2016.065	19	soil.hip
soil.hip.SHSU.2016.065.2016.09.14.day21	soil.hip.SHSU.2016.065.2016.09.14.day21	558.6111111	23	SHSU	2016.065	20	soil.hip
soil.hip.SHSU.2016.067.2016.09.16.day1	soil.hip.SHSU.2016.067.2016.09.16.day1	0	3	SHSU	2016.067	0	soil.hip
soil.hip.SHSU.2016.067.2016.09.17.day2	soil.hip.SHSU.2016.067.2016.09.17.day2	29.2	3	SHSU	2016.067	1	soil.hip
soil.hip.SHSU.2016.067.2016.09.18.day3	soil.hip.SHSU.2016.067.2016.09.18.day3	58.9	3	SHSU	2016.067	2	soil.hip
soil.hip.SHSU.2016.067.2016.09.19.day4	soil.hip.SHSU.2016.067.2016.09.19.day4	89.75	9	SHSU	2016.067	3	soil.hip
soil.hip.SHSU.2016.067.2016.09.20.day5	soil.hip.SHSU.2016.067.2016.09.20.day5	118.95	12	SHSU	2016.067	4	soil.hip
soil.hip.SHSU.2016.067.2016.09.21.day6	soil.hip.SHSU.2016.067.2016.09.21.day6	146.15	14	SHSU	2016.067	5	soil.hip
soil.hip.SHSU.2016.067.2016.09.22.day7	soil.hip.SHSU.2016.067.2016.09.22.day7	173.4	18	SHSU	2016.067	6	soil.hip
soil.hip.SHSU.2016.067.2016.09.24.day9	soil.hip.SHSU.2016.067.2016.09.24.day9	229.8	18	SHSU	2016.067	8	soil.hip
soil.hip.SHSU.2016.067.2016.09.25.day10	soil.hip.SHSU.2016.067.2016.09.25.day10	256.45	19	SHSU	2016.067	9	soil.hip
soil.hip.SHSU.2016.067.2016.09.26.day11	soil.hip.SHSU.2016.067.2016.09.26.day11	280.6	22	SHSU	2016.067	10	soil.hip
soil.hip.SHSU.2016.067.2016.09.28.day13	soil.hip.SHSU.2016.067.2016.09.28.day13	327	22	SHSU	2016.067	12	soil.hip
soil.hip.SHSU.2016.067.2016.09.29.day14	soil.hip.SHSU.2016.067.2016.09.29.day14	348.1	23	SHSU	2016.067	13	soil.hip
soil.hip.SHSU.2016.067.2016.09.30.day15	soil.hip.SHSU.2016.067.2016.09.30.day15	367.55	23	SHSU	2016.067	14	soil.hip
soil.hip.SHSU.2016.067.2016.10.01.day16	soil.hip.SHSU.2016.067.2016.10.01.day16	388.4	24	SHSU	2016.067	15	soil.hip
soil.hip.SHSU.2016.067.2016.10.02.day17	soil.hip.SHSU.2016.067.2016.10.02.day17	410.3	24	SHSU	2016.067	16	soil.hip
soil.hip.SHSU2016.067.2016.10.03.day18	soil.hip.SHSU2016.067.2016.10.03.day18	432.5	25	SHSU	2016.067	17	soil.hip
soil.hip.SHSU.2016.067.2016.10.04.day19	soil.hip.SHSU.2016.067.2016.10.04.day19	457.5	25	SHSU	2016.067	18	soil.hip
soil.hip.SHSU.2016.067.2016.10.05.day20	soil.hip.SHSU.2016.067.2016.10.05.day20	486.1	25	SHSU	2016.067	19	soil.hip
soil.hip.SHSU.2016.067.2016.10.06.day21	soil.hip.SHSU.2016.067.2016.10.06.day21	513.85	25	SHSU	2016.067	20	soil.hip
soil.hip.SHSU.2016.072.2016.11.04.day1	soil.hip.SHSU.2016.072.2016.11.04.day1	0	3	SHSU	2016.072	0	soil.hip
soil.hip.SHSU.2016.072.2016.11.05.day2	soil.hip.SHSU.2016.072.2016.11.05.day2	19.45	3	SHSU	2016.072	1	soil.hip
soil.hip.SHSU.2016.072.2016.11.06.day3	soil.hip.SHSU.2016.072.2016.11.06.day3	40.6	3	SHSU	2016.072	2	soil.hip
soil.hip.SHSU.2016.072.2016.11.07.day4	soil.hip.SHSU.2016.072.2016.11.07.day4	62.55	3	SHSU	2016.072	3	soil.hip
soil.hip.SHSU.2016.072.2016.11.08.day5	soil.hip.SHSU.2016.072.2016.11.08.day5	82	3	SHSU	2016.072	4	soil.hip
soil.hip.SHSU.2016.072.2016.11.09.day6	soil.hip.SHSU.2016.072.2016.11.09.day6	100.6	5	SHSU	2016.072	5	soil.hip
soil.hip.SHSU.2016.072.2016.11.10.day7	soil.hip.SHSU.2016.072.2016.11.10.day7	117.55	9	SHSU	2016.072	6	soil.hip
soil.hip.SHSU.2016.072.2016.11.11.day8	soil.hip.SHSU.2016.072.2016.11.11.day8	135.35	9	SHSU	2016.072	7	soil.hip
soil.hip.SHSU.2016.072.2016.11.12.day9	soil.hip.SHSU.2016.072.2016.11.12.day9	154	12	SHSU	2016.072	8	soil.hip
soil.hip.SHSU.2016.072.2016.11.13.day10	soil.hip.SHSU.2016.072.2016.11.13.day10	170.4	12	SHSU	2016.072	9	soil.hip
soil.hip.SHSU.2016.072.2016.11.14.day11	soil.hip.SHSU.2016.072.2016.11.14.day11	189.05	12	SHSU	2016.072	10	soil.hip
soil.hip.SHSU.2016.072.2016.11.15.day12	soil.hip.SHSU.2016.072.2016.11.15.day12	209.6	12	SHSU	2016.072	11	soil.hip
soil.hip.SHSU.206.072.2016.11.16.day13	soil.hip.SHSU.206.072.2016.11.16.day13	230.7	13	SHSU	2016.072	12	soil.hip
soil.hip.SHSU.2016.072.2016.11.17.day14	soil.hip.SHSU.2016.072.2016.11.17.day14	252.9	14	SHSU	2016.072	13	soil.hip
soil.hip.SHSU.2016.072.2016.11.18.day15	soil.hip.SHSU.2016.072.2016.11.18.day15	271.25	15	SHSU	2016.072	14	soil.hip
soil.hip.SHSU.2016.072.2016.11.19.day16	soil.hip.SHSU.2016.072.2016.11.19.day16	281	15	SHSU	2016.072	15	soil.hip
soil.hip.SHSU.2016.072.2016.11.20.day17	soil.hip.SHSU.2016.072.2016.11.20.day17	289.9	15	SHSU	2016.072	16	soil.hip
soil.hip.SHSU.2016.072.2016.11.21.day18	soil.hip.SHSU.2016.072.2016.11.21.day18	305.2	15	SHSU	2016.072	17	soil.hip
soil.hip.SHSU.2016.072.2016.11.22.day19	soil.hip.SHSU.2016.072.2016.11.22.day19	326.9	15	SHSU	2016.072	18	soil.hip
soil.hip.SHSU.2016.072.2016.11.23.day20	soil.hip.SHSU.2016.072.2016.11.23.day20	342.45	15	SHSU	2016.072	19	soil.hip
soil.hip.SHSU.2016.072.2016.11.24.day21	soil.hip.SHSU.2016.072.2016.11.24.day21	357.45	15	SHSU	2016.072	20	soil.hip
soil.hip.SHSU.2016.073.2016.11.04.day1	soil.hip.SHSU.2016.073.2016.11.04.day1	0	3	SHSU	2016.073	0	soil.hip
